0   0   0   1   1   1.000   0.000
0   0   0   1   2   0.000   -0.001
0   -1  0   1   2   0.000   -0.001
1   -1  0   1   2   0.000   -0.001
1   0   0   1   2   0.000   -0.001
0   0   -1  1   2   0.000   -0.001
0   -1  -1  1   2   0.000   -0.001
1   -1  -1  1   2   0.000   -0.001
1   0   -1  1   2   0.000   -0.001
0   0   0   2   2   1.000   0.000
0   1   0   2   1   0.000   -0.001
-1  1   0   2   1   0.000   -0.001
-1  0   0   2   1   0.000   -0.001
0   0   0   2   1   0.000   -0.001
0   0   1   2   1   0.000   -0.001
0   1   1   2   1   0.000   -0.001
-1  1   1   2   1   0.000   -0.001
-1  0   1   2   1   0.000   -0.001
